Record_number,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
468,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 003c2ee4-ed1d-4ba1-93dc-215778582827. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=003c2ee4-ed1d-4ba1-93dc-215778582827,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,003c2ee4-ed1d-4ba1-93dc-215778582827,7370,,"Linden, Richard",,,,,,,,alcoholic,,,,,,NTSU930,,,,,,,,,,,,05/01/1966,,121,121,1966,5,1,May-66,,,,,,,,,North America,,,,United States,,Texas,Denton,,Denton,Denton,,,,,,,,,,,33.191738,-97.144453,not recorded,,,,33.191738Â° N,97.144453Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
469,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 028ff389-a1f1-4450-bf7f-4bfb212f9bbc. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=028ff389-a1f1-4450-bf7f-4bfb212f9bbc,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,028ff389-a1f1-4450-bf7f-4bfb212f9bbc,10857,,Stinnett,,,,,,,,alcoholic,,,,,,,,,,,,,,,,,,06/26/1973,,177,177,1973,6,26,26-Jun-73,,,,,,,,,North America,,,,United States,,Texas,Taylor,,"7 mi S Trent, Brnovak farm",7 mi S. of Trent - Brnovak,,,,,,,,,,,32.387855,-100.12611,not recorded,,,,32.387855Â° N,100.12611Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
470,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 106754a1-15c8-4ef8-b64f-a436fbd5236e. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=106754a1-15c8-4ef8-b64f-a436fbd5236e,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,106754a1-15c8-4ef8-b64f-a436fbd5236e,7389,,"Brown, Linda",,,,,,,,alcoholic,,,,,,NTSU1921,,,,,,,,,,,,02/22/1969,,53,53,1969,2,22,22-Feb-69,,,,,,,,,North America,,,,United States,,Texas,Denton,,Shady Shores,"Shady Shores, City Limits",,,,,,,,,,,33.161839,-97.03741,not recorded,,,,33.161839Â° N,97.03741Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
471,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 1369492b-9d55-45ea-8717-54e261a7ffe9. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=1369492b-9d55-45ea-8717-54e261a7ffe9,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,1369492b-9d55-45ea-8717-54e261a7ffe9,5836,,"Welch, D",,,,,,,,alcoholic,,,,,,NTSU2903,,,,,,,,,,,,07/25/1968,,207,207,1968,7,25,25-Jul-68,,,,,,,,,North America,,,,United States,,Texas,Montague,,5.2 mi W Montague,"Montague, 5.2 mi W",,,,,,,,,,,33.677116,-97.81033,not recorded,,,,33.677116Â° N,97.81033Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
472,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 14288de6-96ae-49f9-89c3-a6688a5335eb. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=14288de6-96ae-49f9-89c3-a6688a5335eb,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,14288de6-96ae-49f9-89c3-a6688a5335eb,7350,,"Scott, L",,,,,,,,alcoholic,,,,,,NTSU3724,,,,,,,,,,,,04/12/1970,,102,102,1970,4,12,12-Apr-70,,,,,,,,,North America,,,,United States,,Texas,Hood,,"0.6 mi S, 3.2 mi W Granbury",3.2 mi W & 0.6 mi S Grandbury,,,,,,,,,,,32.429387,-97.849265,not recorded,,,,32.429387Â° N,97.849265Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
473,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 1b4df392-cbbe-4e00-ae66-44b2c32f77a5. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=1b4df392-cbbe-4e00-ae66-44b2c32f77a5,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,1b4df392-cbbe-4e00-ae66-44b2c32f77a5,5858,,"Porter, S",,,,,,,,alcoholic,,,,,,NTSU3063,,,,,,,,,,,,04/12/1969,,102,102,1969,4,12,12-Apr-69,,,,,,,,,North America,,,,United States,,Texas,Palo Pinto,,"7 mi S Palo Pinto, FM 4","Palo Pinto, 7 mi S on Hwy 4",,,,,,,,,,,32.677417,-98.26889,not recorded,,,,32.677417Â° N,98.26889Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
474,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 2177e264-61c0-494f-954e-a4860357c04a. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=2177e264-61c0-494f-954e-a4860357c04a,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,2177e264-61c0-494f-954e-a4860357c04a,5849,,"Alcoze, T",,,,,,,,alcoholic,,,,,,NTSU4439,,,,,,,,,,,,04/17/1970,,107,107,1970,4,17,17-Apr-70,,,,,,,,,North America,,,,United States,,Texas,Jack,,5 mi W Jacksoro,"Jacksboro, 5 mi W",,,,,,,,,,,33.2183,-98.245054,not recorded,,,,33.2183Â° N,98.245054Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
475,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 2297f73d-c899-400d-a55f-5f8485ab2a5d. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=2297f73d-c899-400d-a55f-5f8485ab2a5d,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,2297f73d-c899-400d-a55f-5f8485ab2a5d,7378,,"Ainsworth, S K",,,,,,,,alcoholic,,,,,,NTSU1031,,,,,,,,,,,,04/10/1966,,100,100,1966,4,10,10-Apr-66,,,,,,,,,North America,,,,United States,,Texas,Falls,,Marlin,Marlin,,,,,,,,,,,31.30611,-96.89778,not recorded,,,,31.30611Â° N,96.89778Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
476,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 253cb50f-377e-450f-8e0d-00652abf4240. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=253cb50f-377e-450f-8e0d-00652abf4240,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,253cb50f-377e-450f-8e0d-00652abf4240,7359,,"McCuller, R",,,,,,,,alcoholic,,,,,,NTSU3233,,,,,,,,,,,,04/02/1969,,92,92,1969,4,2,02-Apr-69,,,,,,,,,North America,,,,United States,,Texas,Fannin,,"3 mi S, 2.5 mi W Telephone",2.5 mi W & 3.0 mi S Telephone,,,,,,,,,,,33.737724,-96.062412,not recorded,,,,33.737724Â° N,96.062412Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
477,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 25429007-9a57-42cb-9a28-8918dafbb722. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=25429007-9a57-42cb-9a28-8918dafbb722,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,25429007-9a57-42cb-9a28-8918dafbb722,3095,,"Ferguson, Ken",,,,,,,,alcoholic,,,,,,,,,,,,,,,,,,03/02/1969,,61,61,1969,3,2,02-Mar-69,,,,,,,,,North America,,,,United States,,Texas,Tom Green,,"15 mi N San Angelo, Robert Lee Rd, pond",San Angelo - 15 mi N on Robert Lee Rd. (pond),,,,,,,,,,,31.715922,-100.434957,not recorded,,,,31.715922Â° N,100.434957Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
478,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 2930488a-cc15-4943-94c3-bf675db97fbb. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=2930488a-cc15-4943-94c3-bf675db97fbb,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,2930488a-cc15-4943-94c3-bf675db97fbb,5828,,"Counceller, H",,,,,,,,alcoholic,,,,,,NTSU4044,,,,,,,,,,,,04/24/1970,,114,114,1970,4,24,24-Apr-70,,,,,,,,,North America,,,,United States,,Texas,Henderson,,4 mi W Payne Springs,"Payne Springs, 4 mi W",,,,,,,,,,,32.281543,-96.132245,not recorded,,,,32.281543Â° N,96.132245Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
479,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 2d3681d2-54a7-4ed0-89fb-24058b1cc0c7. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=2d3681d2-54a7-4ed0-89fb-24058b1cc0c7,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,2d3681d2-54a7-4ed0-89fb-24058b1cc0c7,5868,,"Counceller, H",,,,,,,,alcoholic,,,,,,NTSU4051,,,,,,,,,,,,04/24/1970,,114,114,1970,4,24,24-Apr-70,,,,,,,,,North America,,,,United States,,Texas,Henderson,,2.5 mi S Eustace,"Eustace, 2.5 mi S",,,,,,,,,,,32.270661,-96.006047,not recorded,,,,32.270661Â° N,96.006047Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
480,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 33232f20-0bbe-4cb9-a289-4b4293312d5f. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=33232f20-0bbe-4cb9-a289-4b4293312d5f,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,33232f20-0bbe-4cb9-a289-4b4293312d5f,7393,,"Baccus, J T",,,,,,,,alcoholic,,,,,,NTSU1979,,,,,,,,,,,,04/26/1969,,116,116,1969,4,26,26-Apr-69,,,,,,,,,North America,,,,United States,,Texas,Shelby,,"1 mi N, 1 mi W Gooberhill",1 mi N & 1 mi W Gooberhill,,,,,,,,,,,31.665054,-93.958398,not recorded,,,,31.665054Â° N,93.958398Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
481,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 35616b1c-9230-4e0b-bd2a-c7ae03b42e10. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=35616b1c-9230-4e0b-bd2a-c7ae03b42e10,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,35616b1c-9230-4e0b-bd2a-c7ae03b42e10,7398,,"Moulton, B",,,,,,,,alcoholic,,,,,,NTSU2385,,,,,,,,,,,,08/10/1968,,223,223,1968,8,10,10-Aug-68,,,,,,,,,North America,,,,United States,,Texas,Montague,,"10.3 mi N Bowie, Hwy 81",10.3 mi N of Bowie on Hwy 81,,,,,,,,,,,33.708339,-97.84833,not recorded,,,,33.708339Â° N,97.84833Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
482,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 374b3b65-90a4-4c28-8387-dc389f5f3f88. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=374b3b65-90a4-4c28-8387-dc389f5f3f88,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,374b3b65-90a4-4c28-8387-dc389f5f3f88,7394,,"Welch, D",,,,,,,,alcoholic,,,,,,NTSU2381,,,,,,,,,,,,07/25/1968,,207,207,1968,7,25,25-Jul-68,,,,,,,,,North America,,,,United States,,Texas,Montague,,"7.8 mi W Montague, FM 1806",7.8 mi W of Montague on Rt 1806,,,,,,,,,,,33.68436,-97.848876,not recorded,,,,33.68436Â° N,97.848876Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
483,PhysicalObject,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Record ID: 378ac17e-bb5d-44f8-95ed-403bc972be18. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),http://portal.vertnet.org/o/asnhc/reptiles?id=378ac17e-bb5d-44f8-95ed-403bc972be18,,,,ASNHC,Reptiles,,PreservedSpecimen,,,,378ac17e-bb5d-44f8-95ed-403bc972be18,7381,,"Welch, D",,,,,,,,alcoholic,,,,,,NTSU1604,,,,,,,,,,,,06/15/1968,,167,167,1968,6,15,15-Jun-68,,,,,,,,,North America,,,,United States,,Texas,Harrison,,5 mi N Karnack,5 mi N Karnak,,,,,,,,,,,32.737874,-94.175258,not recorded,,,,32.737874Â° N,94.175258Â° W,,,,,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,species,,"Shaw, 1802",American Bullfrog,,,,,,,,,,,,Angelo State University. Angelo State Natural History Collections (ASNHC) - Herpetology Collection. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=angelo_reptiles (source published on 2015-03-06),72848c29-b2fd-4a99-9e99-82fe93eecc5b,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,marcia.revelez@angelo.edu,Marcia Revelez,03/06/2015,07/22/2016,no migrator,0,1,0,0,specimen,0
